Kill #,Time,Accuracy,ms
0,1900-01-01 22:08:24.916,0.0,0.0
1,1900-01-01 22:08:02.230,1.0,-22686.0
2,1900-01-01 22:08:02.820,1.0,-22096.0
3,1900-01-01 22:08:03.756,1.0,-21160.0
4,1900-01-01 22:08:04.274,1.0,-20642.0
5,1900-01-01 22:08:04.499,1.0,-20417.0
6,1900-01-01 22:08:05.550,0.5,-19366.0
7,1900-01-01 22:08:06.694,0.5,-18222.0
8,1900-01-01 22:08:07.137,1.0,-17779.0
9,1900-01-01 22:08:08.299,1.0,-16617.0
10,1900-01-01 22:08:08.946,1.0,-15970.0
11,1900-01-01 22:08:09.244,1.0,-15672.0
12,1900-01-01 22:08:10.159,1.0,-14757.0
13,1900-01-01 22:08:10.746,1.0,-14170.0
14,1900-01-01 22:08:11.464,1.0,-13452.0
15,1900-01-01 22:08:12.029,1.0,-12887.0
16,1900-01-01 22:08:12.538,1.0,-12378.0
17,1900-01-01 22:08:13.057,1.0,-11859.0
18,1900-01-01 22:08:13.571,1.0,-11345.0
19,1900-01-01 22:08:14.682,0.5,-10234.0
20,1900-01-01 22:08:15.178,1.0,-9738.0
21,1900-01-01 22:08:15.990,1.0,-8926.0
22,1900-01-01 22:08:17.048,0.5,-7868.0
23,1900-01-01 22:08:17.486,1.0,-7430.0
24,1900-01-01 22:08:18.419,0.5,-6497.0
25,1900-01-01 22:08:18.820,1.0,-6096.0
26,1900-01-01 22:08:19.386,1.0,-5530.0
27,1900-01-01 22:08:20.395,0.5,-4521.0
28,1900-01-01 22:08:21.105,1.0,-3811.0
29,1900-01-01 22:08:21.843,1.0,-3073.0
30,1900-01-01 22:08:22.329,1.0,-2587.0
31,1900-01-01 22:08:22.763,1.0,-2153.0
32,1900-01-01 22:08:23.736,1.0,-1180.0
33,1900-01-01 22:08:24.576,0.5,-340.0
34,1900-01-01 22:08:25.174,1.0,258.0
35,1900-01-01 22:08:26.175,0.5,1259.0
36,1900-01-01 22:08:26.582,1.0,1666.0
37,1900-01-01 22:08:26.931,1.0,2015.0
38,1900-01-01 22:08:27.467,1.0,2551.0
39,1900-01-01 22:08:28.103,1.0,3187.0
40,1900-01-01 22:08:30.326,0.5,5410.0
41,1900-01-01 22:08:31.200,0.5,6284.0
42,1900-01-01 22:08:32.170,0.5,7254.0
43,1900-01-01 22:08:33.401,1.0,8485.0
44,1900-01-01 22:08:33.950,1.0,9034.0
45,1900-01-01 22:08:34.490,1.0,9574.0
46,1900-01-01 22:08:34.970,1.0,10054.0
47,1900-01-01 22:08:36.013,0.5,11097.0
48,1900-01-01 22:08:36.733,1.0,11817.0
49,1900-01-01 22:08:37.306,1.0,12390.0
50,1900-01-01 22:08:37.766,1.0,12850.0
51,1900-01-01 22:08:42.007,0.2,17091.0
52,1900-01-01 22:08:42.596,1.0,17680.0
53,1900-01-01 22:08:43.087,1.0,18171.0
54,1900-01-01 22:08:43.695,1.0,18779.0
55,1900-01-01 22:08:44.123,1.0,19207.0
56,1900-01-01 22:08:45.064,1.0,20148.0
57,1900-01-01 22:08:45.611,1.0,20695.0
58,1900-01-01 22:08:46.172,1.0,21256.0
59,1900-01-01 22:08:46.680,1.0,21764.0
60,1900-01-01 22:08:48.156,0.333333,23240.0
61,1900-01-01 22:08:48.509,1.0,23593.0
62,1900-01-01 22:08:49.049,1.0,24133.0
63,1900-01-01 22:08:49.478,1.0,24562.0
64,1900-01-01 22:08:50.478,0.5,25562.0
65,1900-01-01 22:08:50.925,1.0,26009.0
66,1900-01-01 22:08:51.764,1.0,26848.0
67,1900-01-01 22:08:53.209,0.5,28293.0
68,1900-01-01 22:08:53.803,1.0,28887.0
69,1900-01-01 22:08:54.211,1.0,29295.0
70,1900-01-01 22:08:55.850,0.333333,30934.0
71,1900-01-01 22:08:56.617,1.0,31701.0
72,1900-01-01 22:08:57.652,0.5,32736.0
73,1900-01-01 22:08:58.538,1.0,33622.0
74,1900-01-01 22:09:00.413,0.333333,35497.0
75,1900-01-01 22:09:00.913,1.0,35997.0
76,1900-01-01 22:09:02.071,0.5,37155.0
77,1900-01-01 22:09:03.351,0.5,38435.0
78,1900-01-01 22:09:05.740,0.333333,40824.0
79,1900-01-01 22:09:06.369,1.0,41453.0
80,1900-01-01 22:09:06.952,1.0,42036.0
81,1900-01-01 22:09:09.948,0.25,45032.0
82,1900-01-01 22:09:10.541,1.0,45625.0
83,1900-01-01 22:09:11.479,0.5,46563.0
84,1900-01-01 22:09:11.922,1.0,47006.0
85,1900-01-01 22:09:13.218,0.5,48302.0
86,1900-01-01 22:09:14.034,1.0,49118.0
87,1900-01-01 22:09:14.499,1.0,49583.0
88,1900-01-01 22:09:15.378,1.0,50462.0
89,1900-01-01 22:09:16.089,1.0,51173.0
90,1900-01-01 22:09:16.874,1.0,51958.0
91,1900-01-01 22:09:17.426,1.0,52510.0
92,1900-01-01 22:09:18.506,0.5,53590.0
93,1900-01-01 22:09:20.355,0.333333,55439.0
94,1900-01-01 22:09:21.832,0.5,56916.0
95,1900-01-01 22:09:22.997,0.5,58081.0
96,1900-01-01 22:09:23.631,1.0,58715.0
97,1900-01-01 22:09:24.411,0.5,59495.0
98,1900-01-01 22:09:24.916,1.0,60000.0
